,testtaker,SelectForm,WordFormation,Hotspot,Punctuation,Dictation,Notes,Lectures,Summary,MeaningWord,WordsinText,LinkingWords,TextComprehension,TextConnection,SelectArgument,FindFallacy,faculty,score
1,FTRNED22231e1,12,13,5,5,6,3,4,1,6,10,2,0,1,1,2,FTR,71
2,FTRNED22231e10,17,15,3,6,7,2,6,6,6,13,9,2,2,2,4,FTR,100
3,FTRNED22231e11,13,16,4,6,6,4,4,9,8,13,10,1,2,2,3,FTR,101
4,FTRNED22231e12,14,13,5,5,9,4,6,11,6,10,10,2,2,2,2,FTR,101
5,FTRNED22231e13,14,17,4,5,6,5,5,9,5,11,10,2,2,2,4,FTR,101
6,FTRNED22231e14,17,17,4,3,5,5,6,6,10,10,11,1,1,2,4,FTR,102
7,FTRNED22231e15,15,16,4,4,8,6,6,8,9,10,9,2,2,1,2,FTR,102
8,FTRNED22231e16,17,18,3,6,8,4,5,2,9,10,11,2,2,2,4,FTR,103
9,FTRNED22231e17,13,14,6,5,8,4,5,10,9,12,10,1,1,2,3,FTR,103
10,FTRNED22231e18,15,16,5,6,7,4,6,10,6,10,9,2,1,2,4,FTR,103
11,FTRNED22231e19,16,17,4,7,6,4,6,8,6,11,9,2,2,1,4,FTR,103
12,FTRNED22231e2,12,16,4,5,5,4,4,9,6,8,9,1,2,0,2,FTR,87
13,FTRNED22231e20,18,17,2,6,4,5,5,8,10,11,9,2,2,2,3,FTR,104
14,FTRNED22231e21,17,16,4,6,7,5,6,6,6,11,10,2,2,2,4,FTR,104
15,FTRNED22231e22,12,16,5,6,8,4,6,7,8,11,11,2,2,2,4,FTR,104
16,FTRNED22231e23,15,15,6,3,8,4,5,11,8,10,11,2,1,2,3,FTR,104
17,FTRNED22231e24,14,14,1,7,7,6,5,11,10,11,12,2,1,2,2,FTR,105
18,FTRNED22231e25,13,15,6,7,6,6,5,11,7,10,11,2,2,2,3,FTR,106
19,FTRNED22231e26,15,15,6,7,6,4,6,10,8,10,11,2,2,2,2,FTR,106
20,FTRNED22231e27,17,18,6,5,8,5,6,9,9,10,7,2,1,2,3,FTR,108
21,FTRNED22231e28,15,16,4,5,8,5,5,10,10,12,11,1,1,2,4,FTR,109
22,FTRNED22231e29,16,16,5,5,8,5,6,11,7,11,10,2,2,2,3,FTR,109
23,FTRNED22231e3,12,16,3,4,6,4,5,8,6,9,7,2,2,1,3,FTR,88
24,FTRNED22231e30,18,15,4,5,6,5,5,11,9,11,10,2,2,2,4,FTR,109
25,FTRNED22231e31,15,15,4,6,5,5,5,11,9,13,11,2,2,2,4,FTR,109
26,FTRNED22231e32,18,15,6,6,5,6,5,10,9,8,11,2,2,2,4,FTR,109
27,FTRNED22231e33,18,17,5,5,8,6,6,7,9,12,9,1,1,2,3,FTR,109
28,FTRNED22231e34,15,17,3,5,7,5,6,10,8,11,12,2,2,2,4,FTR,109
29,FTRNED22231e35,16,16,5,4,5,6,6,11,9,12,10,2,2,2,4,FTR,110
30,FTRNED22231e36,16,13,6,6,5,6,6,10,9,12,11,2,2,2,4,FTR,110
31,FTRNED22231e37,18,16,4,5,7,6,6,12,7,10,10,2,2,1,4,FTR,110
32,FTRNED22231e38,17,16,4,7,4,5,6,10,9,12,12,2,1,2,3,FTR,110
33,FTRNED22231e39,18,17,6,7,7,5,5,9,10,10,10,2,0,2,3,FTR,111
34,FTRNED22231e4,11,16,1,7,6,6,6,5,8,9,9,1,0,1,4,FTR,90
35,FTRNED22231e40,17,15,6,7,10,6,4,11,7,11,7,2,2,2,4,FTR,111
36,FTRNED22231e41,17,17,5,5,5,6,6,11,9,11,10,2,1,2,4,FTR,111
37,FTRNED22231e42,17,16,5,7,8,6,6,11,7,10,10,2,2,2,3,FTR,112
38,FTRNED22231e43,16,15,5,5,7,6,5,10,10,12,11,2,2,2,4,FTR,112
39,FTRNED22231e44,15,17,6,6,7,5,5,9,10,12,11,2,2,2,3,FTR,112
40,FTRNED22231e45,18,15,5,5,6,6,6,8,10,12,11,2,2,2,4,FTR,112
41,FTRNED22231e46,18,17,5,4,6,6,6,11,9,12,10,2,2,2,2,FTR,112
42,FTRNED22231e47,18,16,5,6,6,6,5,11,9,13,10,2,2,2,2,FTR,113
43,FTRNED22231e48,16,17,6,4,8,6,5,7,10,13,12,2,2,2,3,FTR,113
44,FTRNED22231e49,16,16,5,6,7,6,6,11,8,12,11,2,2,2,3,FTR,113
45,FTRNED22231e5,13,15,3,7,4,4,6,8,9,10,7,1,1,1,3,FTR,92
46,FTRNED22231e50,18,14,4,5,7,6,6,11,9,14,11,2,1,1,4,FTR,113
47,FTRNED22231e51,18,16,5,6,7,6,5,11,9,11,10,2,2,2,3,FTR,113
48,FTRNED22231e52,15,19,5,7,5,5,6,11,9,12,11,2,1,2,3,FTR,113
49,FTRNED22231e53,14,18,6,6,9,5,5,10,10,11,12,2,2,2,3,FTR,115
50,FTRNED22231e54,16,17,6,6,7,6,4,11,10,13,10,2,1,2,4,FTR,115
51,FTRNED22231e55,18,16,4,4,8,6,6,10,10,12,12,2,1,2,4,FTR,115
52,FTRNED22231e56,19,18,6,7,8,5,4,8,9,12,10,2,1,2,4,FTR,115
53,FTRNED22231e57,18,18,5,6,7,4,6,11,9,13,9,2,2,2,4,FTR,116
54,FTRNED22231e58,17,14,6,7,6,6,5,11,10,14,12,2,1,2,3,FTR,116
55,FTRNED22231e59,17,18,2,6,7,6,5,12,9,13,12,2,1,2,4,FTR,116
56,FTRNED22231e6,16,13,3,6,7,3,5,7,4,12,11,2,2,0,1,FTR,92
57,FTRNED22231e60,19,14,4,6,8,6,6,12,10,12,12,2,2,1,3,FTR,117
58,FTRNED22231e61,17,16,6,6,7,6,6,12,9,13,11,2,1,2,3,FTR,117
59,FTRNED22231e62,19,19,5,6,8,6,6,6,10,13,9,2,2,2,4,FTR,117
60,FTRNED22231e63,20,17,5,7,8,6,6,12,9,11,9,2,1,1,3,FTR,117
61,FTRNED22231e64,19,17,4,7,9,6,5,8,10,13,11,2,1,2,4,FTR,118
62,FTRNED22231e65,18,17,5,5,8,6,6,10,10,13,11,2,2,2,4,FTR,119
63,FTRNED22231e66,18,19,6,6,6,6,5,12,10,14,10,2,1,2,4,FTR,121
64,FTRNED22231e67,17,19,5,7,7,6,5,11,10,14,10,2,2,2,4,FTR,121
65,FTRNED22231e68,19,17,6,7,9,6,6,11,10,12,11,2,2,1,2,FTR,121
66,FTRNED22231e69,17,18,8,6,7,6,6,9,10,12,12,2,2,2,4,FTR,121
67,FTRNED22231e7,13,15,4,7,6,4,4,10,8,11,9,0,1,0,0,FTR,92
68,FTRNED22231e70,19,19,6,7,8,6,6,8,10,12,12,2,2,1,3,FTR,121
69,FTRNED22231e71,18,18,6,6,7,6,6,11,10,12,12,2,2,2,3,FTR,121
70,FTRNED22231e72,20,18,6,7,10,6,6,9,10,13,10,2,2,2,4,FTR,125
71,FTRNED22231e73,19,19,8,6,9,6,6,10,10,14,12,2,1,2,4,FTR,128
72,FTRNED22231e8,15,15,1,5,6,6,6,7,8,11,11,2,1,1,1,FTR,96
73,FTRNED22231e9,13,16,6,4,7,6,5,8,10,9,7,2,2,1,2,FTR,98
74,LETENG22231e1,20,18,10,7,8,6,6,12,10,13,12,2,2,2,3,LET,131
75,LETENG22231e10,15,18,5,5,6,5,5,10,8,13,11,2,1,2,2,LET,108
76,LETENG22231e100,19,18,10,7,9,6,6,11,10,14,12,2,2,2,4,LET,132
77,LETENG22231e101,18,15,7,6,4,4,5,7,9,11,12,2,2,0,4,LET,106
78,LETENG22231e102,17,18,10,7,8,6,5,10,10,13,10,2,2,1,4,LET,123
79,LETENG22231e103,13,13,7,5,5,3,4,5,1,9,8,1,1,1,1,LET,77
80,LETENG22231e104,16,16,5,7,7,5,5,11,10,14,10,2,2,2,4,LET,116
81,LETENG22231e105,15,18,8,7,8,6,5,6,9,14,12,2,2,2,4,LET,118
82,LETENG22231e106,17,17,7,7,5,6,6,11,9,14,10,2,2,2,4,LET,119
83,LETENG22231e107,13,13,6,5,6,2,5,7,6,6,7,0,0,1,0,LET,77
84,LETENG22231e108,19,11,8,6,10,6,6,9,10,12,12,2,2,2,3,LET,118
85,LETENG22231e109,14,12,6,7,6,6,6,10,6,9,10,0,2,0,2,LET,96
86,LETENG22231e11,17,18,8,7,7,6,4,9,8,11,9,2,2,1,2,LET,111
87,LETENG22231e110,15,16,7,6,6,6,5,9,6,11,7,2,2,1,0,LET,99
88,LETENG22231e111,16,14,7,7,7,5,5,8,10,14,11,2,2,2,3,LET,113
89,LETENG22231e112,17,17,8,6,7,5,5,10,8,13,10,1,1,0,3,LET,111
90,LETENG22231e113,19,15,7,5,5,6,6,11,9,13,11,2,2,2,4,LET,117
91,LETENG22231e114,16,15,8,6,7,6,5,9,7,12,10,2,2,1,3,LET,109
92,LETENG22231e115,16,16,8,7,7,4,5,11,4,11,10,2,2,2,4,LET,109
93,LETENG22231e116,14,16,6,6,6,5,6,9,5,11,10,2,2,1,4,LET,103
94,LETENG22231e117,17,19,10,5,7,6,6,11,10,12,12,2,2,2,4,LET,125
95,LETENG22231e118,15,18,6,7,5,5,6,7,9,9,12,2,2,1,3,LET,107
96,LETENG22231e119,20,18,10,6,8,6,6,11,9,12,10,2,2,2,4,LET,126
97,LETENG22231e12,17,17,9,6,5,5,5,10,9,12,11,2,2,2,0,LET,112
98,LETENG22231e120,18,15,8,5,5,6,6,12,10,13,11,2,1,2,2,LET,116
99,LETENG22231e121,10,17,7,5,6,4,5,9,4,9,10,2,2,2,2,LET,94
100,LETENG22231e122,17,17,9,7,7,6,6,9,8,11,11,2,2,2,4,LET,118
101,LETENG22231e123,19,19,7,6,7,5,6,10,10,13,11,2,0,0,2,LET,117
102,LETENG22231e124,17,18,10,5,7,6,6,10,9,14,10,2,1,2,4,LET,121
103,LETENG22231e125,20,18,10,6,8,4,6,11,10,12,10,2,2,2,4,LET,125
104,LETENG22231e126,15,14,10,7,7,3,5,11,3,14,10,1,2,1,4,LET,107
105,LETENG22231e127,19,16,6,7,7,4,6,11,10,13,12,2,2,2,4,LET,121
106,LETENG22231e128,14,17,6,7,6,6,5,7,10,10,10,2,2,1,3,LET,106
