"Value","Count"
"that poverty worldwide",81
"the poverty worldwide",27
"poverty worldwide",24
"that poverty world-wide",16
"the poverty world-wide",13
"the poverty world wide",10
"that poverty world wide",9
"poverty world-wide",4
"That poverty worldwide",2
"",1
"poverity worldwide",1
"poverty wordlwide",1
"poverty world wide",1
"Poverty world wide",1
"that poverty",1
"that poverty woldwide",1
"that poverty world wild",1
"that powerty worldwide",1
"that profiting world-wide",1
"that proverty worldwide",1
"that pufferty worldwide",1
"that through half  worldwide",1
"that, poverty worldwide",1
"The poverty worldwide",1
"the powerty worldwide",1
