,col1,col2,col3,key1,key2,key3,key4,key5,key6,key7,key8,key9,key10,key11,key12,key13,key14,key15
1,Re-Wri-Sp-Dictation-3,v2,r9,to define themselves,to define themselves., to define themselves in., to define themselves in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Re-Wri-Sp-Dictation-8,v2,r7,urban taxis,urban taxis., flying urban taxis, flying urban taxis., flying urban taxis is, flying urban taxis is. on flying urban taxis is, on flying urban taxis is.,NA,NA,NA,NA,NA,NA,NA,NA
3,Re-Wri-Sp-Dictation-10,v1,r6,is where our group,is where our group., is where our group first, is where our group first.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Re-Wri-Sp-Dictation-9,v1,r6,that poverty worldwide,that poverty worldwide., the poverty worldwide, the poverty worldwide., that poverty worldwide has, that poverty worldwide has., the poverty worldwide has, the poverty worldwide has.,NA,NA,NA,NA,NA,NA,NA
5,Re-Wri-Sp-Dictation-7,v1,r6,options to choose from,options to choose from. fewer options to choose from, fewer options to choose from.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Re-Wri-Sp-Dictation-6,v2,r7,of others' houses,of others' houses., of others' houses to., of others' houses to, of others´ houses, of others´ houses., of others´ houses to, of others´ houses to., of others` houses, of others` houses., of others` houses to., of others` houses to,NA,NA,NA
7,Re-Wri-Sp-Dictation-5,v1,r6,in South Africa,in South Africa., In South Africa., In South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Re-Wri-Sp-Dictation-4,v2,r7,such a small-brained,for such a small-brained, such a small-brained individual, such a small-brained., for such a small-brained., such a small-brained individual.,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Re-Wri-Sp-Dictation-2,v2,r8,They're our future,They are our future, they're our future., they are our future., They´re our future, They´re our future., They`re our future, They`re our future.,NA,NA,NA,NA,NA,NA,NA
10,Re-Wri-Sp-Dictation-1,v1,r6,is probably useful,is probably useful, is probably useful., than is probably useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
