,col1,col2,col3,,allkeys,key1,key2,key3,key4,key5,key6,key7,key8,key9,key10,key11,key12,key13,key14,key15
1,Re-Wri-Sp-Dictation-3,v2,r9,,,,,,,,,,,,,,,,,
2,Re-Wri-Sp-Dictation-8,v2,r7,,,,,,,,,,,,,,,,,
3,Re-Wri-Sp-Dictation-10,v1,r6,,,,,,,,,,,,,,,,,
4,Re-Wri-Sp-Dictation-9,v1,r6,,,,,,,,,,,,,,,,,
5,Re-Wri-Sp-Dictation-7,v1,r6,,,,,,,,,,,,,,,,,
6,Re-Wri-Sp-Dictation-6,v2,r7,,,,,,,,,,,,,,,,,
7,Re-Wri-Sp-Dictation-5,v1,r6,,,,,,,,,,,,,,,,,
8,Re-Wri-Sp-Dictation-4,v2,r7,,,,,,,,,,,,,,,,,
9,Re-Wri-Sp-Dictation-2,v2,r8,,,,,,,,,,,,,,,,,
10,Re-Wri-Sp-Dictation-1,v1,r6,,,,,,,,,,,,,,,,,
11,Re-List-Int-DictationNotes-2,v2,r8,,,,,,,,,,,,,,,,,
12,Re-List-Int-DictationNotes-1,v2,r9,,,,,,,,,,,,,,,,,
13,Re-List-Int-DictationNotes-5,v1,r7,,,,,,,,,,,,,,,,,
14,Re-List-Int-DictationNotes-7,v2,r9,,,,,,,,,,,,,,,,,
15,Re-List-Int-DictationNotes-10,v2,r8,,,,,,,,,,,,,,,,,
16,Re-list-Int-DictationNotes-9,v2,r7,,,,,,,,,,,,,,,,,
17,Re-Read-Voc-MeaningWord-21,v1,r3,,,,,,,,,,,,,,,,,
18,Re-Read-Voc-MeaningWord-22,v1,r3,,,,,,,,,,,,,,,,,
19,Re-Read-Voc-MeaningWord-23,v1,r3,,,,,,,,,,,,,,,,,
20,Re-Read-Voc-MeaningWord-24,v1,r3,,,,,,,,,,,,,,,,,
21,Re-Read-Voc-MeaningWord-25,v1,r3,,,,,,,,,,,,,,,,,
22,Re-Read-Voc-MeaningWord-26,v1,r3,,,,,,,,,,,,,,,,,
23,Re-Read-Voc-MeaningWord-27,v1,r3,,,,,,,,,,,,,,,,,
24,Re-Read-Voc-MeaningWord-28,v1,r4,,,,,,,,,,,,,,,,,
25,Re-Read-Voc-MeaningWord-29,v1,r4,,,,,,,,,,,,,,,,,
26,Re-Read-Voc-MeaningWord-30,v1,r3,,,,,,,,,,,,,,,,,
27,Re-Read-Log-LinkingWords-31,v1,r2,,,,,,,,,,,,,,,,,
28,Re-Read-Log-LinkingWords-32,v1,r2,,,,,,,,,,,,,,,,,
29,Re-Read-Log-LinkingWords-33,v1,r2,,,,,,,,,,,,,,,,,
30,Re-Read-Log-LinkingWords-34,v1,r2,,,,,,,,,,,,,,,,,
31,Re-Read-Log-LinkingWords-35,v1,r2,,,,,,,,,,,,,,,,,
32,Re-Read-Log-LinkingWords-36,v1,r2,,,,,,,,,,,,,,,,,
33,Re-Read-Log-LinkingWords-37,v1,r2,,,,,,,,,,,,,,,,,
34,Re-Read-Log-LinkingWords-38,v1,r2,,,,,,,,,,,,,,,,,
35,Re-Read-Log-LinkingWords-39,v1,r2,,,,,,,,,,,,,,,,,
36,Re-Read-Log-LinkingWords-40,v1,r2,,,,,,,,,,,,,,,,,
37,Re-Read-Log-LinkingWords-41,v1,r3,,,,,,,,,,,,,,,,,
38,Re-Read-Log-LinkingWords-42,v1,r3,,,,,,,,,,,,,,,,,
39,Re-Read-Und-TextComprehension-1,v1,r7,,,,,,,,,,,,,,,,,
40,Re-Read-Und-TextComprehension-2,v1,r6,,,,,,,,,,,,,,,,,
41,Re-Read-Log-TextConnection-1,v1,r7,,,,,,,,,,,,,,,,,
42,Re-Read-Log-TextConnection-2,v1,r7,,,,,,,,,,,,,,,,,
43,Re-Read-Log-SelectArgument-2,v1,r7,,,,,,,,,,,,,,,,,
44,Re-Read-Log-SelectArgument-1,v1,r7,,,,,,,,,,,,,,,,,
45,Re-Read-Log-FindFallacy-1,v1,r4,,,,,,,,,,,,,,,,,
46,Re-Read-Log-FindFallacy-2,v1,r3,,,,,,,,,,,,,,,,,
47,Re-Read-Log-FindFallacy-3,v1,r3,,,,,,,,,,,,,,,,,
48,Re-Read-Log-FindFallacy-4,v1,r5,,,,,,,,,,,,,,,,,
49,ReFdL-List-Und-Lectures-1,v1,r10,,,,,,,,,,,,,,,,,
50,ReFdL-List-Und-Lectures-2,v1,r9,,,,,,,,,,,,,,,,,
51,ReFdM-List-Und-Lectures-03,v1,r2,,,,,,,,,,,,,,,,,
52,ReFdM-List-Und-Lectures-04,v1,r3,,,,,,,,,,,,,,,,,
